id,title,authors,venue,year
688,orthogonal optimization of subqueries and aggregation sigmod conference 2001,"c galindo-legaria , m joshi",None,None
689,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ) 1996,None,None,None
690,"independence is good : dependency-based histogram synopses for high-dimensional data a deshpande , m garofalakis , r rastogi",None,sigmod conference,2001.0
691,integrating contents and structure in text retrieval 1996,"r baeza-yates , g navarro",sigmod record,None
692,lifestreams : a storage model for personal data 1996,"e freeman , d gelernter",sigmod record,None
693,"progressive approximate aggregate queries with a multi-resolution tree structure i lazaridis , s mehrotra",None,sigmod conference,2001.0
694,object query standards sigmod record 1996,a wade,None,None
695,"stholes : a multidimensional workload-aware histogram n bruno , s chaudhuri , l gravano 2001",None,sigmod conference,None
696,"database research at arizona state university s urban , s dietrich , f golshani sigmod record 1996",None,None,None
697,application servers : born-again tp monitors for the web ? ( panel abstract ),c mohan,sigmod conference,2001.0
698,illustra 's web datablade module j gaffney sigmod record,None,None,1996.0
699,proxy-server architectures for olap sigmod conference 2001,"p kalnis , d papadias",None,None
700,mqseries and cics link for lotus notes 1996,None,sigmod record,None
701,"efficient and effective metasearch for text databases incorporating linkages among documents c yu , w meng , w wu , k liu 2001",None,sigmod conference,None
702,"shutdown , budget , and funding x qian sigmod record 1996",None,None,None
703,"query optimization in compressed database systems z chen , j gehrke , f korn",None,sigmod conference,2001.0
704,www-udk : a web-based environmental meta-information system,"r kramer , r nikolai , a koschel , c rolker , p lockemann , a keitel , r legat , k zirm",sigmod record,1997.0
705,"main-memory index structures with fixed-size partial keys p bohannon , p mcilroy , r rastogi sigmod conference 2001",None,None,None
706,improving access to environmental data using context information,"a tomasic , e simon",sigmod record,1997.0
707,"the network is the database : data management for highly distributed systems j navas , m wynblatt sigmod conference",None,None,2001.0
708,integrating modelling systems for environmental management information systems,"d abel , k taylor , d kuo",sigmod record,1997.0
709,"outlier detection for high dimensional data c aggarwal , p yu 2001",None,sigmod conference,None
710,"storhouse metanoia - new applications for database , storage & data warehousing f cariёo , p kostamaa , a kaufmann , j burgess",None,sigmod conference,2001.0
711,environment information systems - guest editor 's foreword 1997,None,None,None
712,min-max compression methods for medical image databases sigmod record 1997,"k karadimitriou , j tyler",None,None
713,"on supporting containment queries in relational database management systems c zhang , j naughton , d dewitt , q luo , g lohman sigmod conference",None,None,2001.0
714,"improving index performance through prefetching s chen , p gibbons , t mowry sigmod conference",None,None,2001.0
715,"mediator languages - a proposal for a standard p buneman , l raschid , j ullman sigmod record",None,None,1997.0
716,materialized view and index selection tool for microsoft sql server 2000 sigmod conference 2001,"s agrawal , s chaudhuri , v narasayya",None,None
717,open gis and on-line environmental libraries sigmod record,k gardels,None,1997.0
718,"management of data and services in the environmental information system ( uis ) of baden-wќrttemberg w riekert , r mayer-fіll , g wiest",None,sigmod record,1997.0
719,\ kweelt : more than just \ '' \ `` yet another framework to query xml ! \ '' \ '' \ '' '' a sahuguet sigmod conference 2001,None,None,None
720,dynamic information visualization sigmod record,y ioannidis,None,1996.0
721,"selectivity estimation using probabilistic models l getoor , b taskar , d koller sigmod conference",None,None,2001.0
722,"a response to r. camps ' article `` domains , relations and religious wars '' c date sigmod record",None,None,1996.0
723,"prefer : a system for the efficient execution of multi-parametric ranked queries v hristidis , n koudas , y papakonstantinou 2001",None,sigmod conference,None
724,opportunities in information management and assurance sigmod record,x qian,None,1997.0
725,mining needle in a haystack : classifying rare classes via two-phase rule induction sigmod conference,"m joshi , r agarwal",None,2001.0
726,query previews for networked information systems : a case study with nasa environmental data,"k doan , c plaisant , b shneiderman , t bruns",sigmod record,1997.0
727,"probe , count , and classify : categorizing hidden web databases sigmod conference","p ipeirotis , l gravano , m sahami",None,2001.0
728,iceberg-cube computation with pc clusters sigmod conference,"r ng , a wagner , y yin",None,2001.0
729,an orthogonally persistent java 1996,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,None
730,"reconciling schemas of disparate data sources : a machine-learning approach a doan , p domingos , a halevy 2001",None,sigmod conference,None
731,3d geographic network displays,"k cox , s eick , t he",sigmod record,1996.0
732,locally adaptive dimensionality reduction for indexing large time series databases sigmod conference,"e keogh , k chakrabarti , s mehrotra , m pazzani",None,2001.0
733,applying database visualization to the world wide web,"m hasan , a mendelzon , d vista",sigmod record,1996.0
734,"a framework for information visualisation j kennedy , k mitchell , p barclay 1996",None,sigmod record,None
735,time series similarity measures and time series indexing 2001,None,None,None
736,vqbd : exploring semistructured data sigmod conference,"s chawathe , t baby , j yeo",None,2001.0
737,the aggregate data problem : a system for their definition and management,"m rafanelli , a bezenchek , l tininini",sigmod record,1996.0
738,models and languages for describing and discovering e-services,None,None,2001.0
739,"information visualization , guest editors ' foreword 1996",None,None,None
740,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes 2001,"a whitney , d shasha",sigmod conference,None
741,editor 's notes jennifer widom sigmod record,None,None,1996.0
742,"in reply to domains , relations and religious wars h darwen sigmod record",None,None,1996.0
743,spatial data management for computer aided design sigmod conference 2001,"h kriegel , a mќller , m pіtke , t seidl",None,None
744,monitoring business processes through event correlation based on dependency model,"a adi , d botzer , o etzion , t yatzkar-haham",sigmod conference,2001.0
745,pixel-oriented database visualizations d keim sigmod record,None,None,1996.0
746,"minimization of tree pattern queries s amer-yahia , s cho , l lakshmanan , d srivastava",None,sigmod conference,2001.0
747,"to table or not to table : a hypertabular answer g santucci , l tarantino",None,sigmod record,1996.0
748,"using the golden rule of sampling for query estimation y wu , d agrawal , a abbadi",None,sigmod conference,2001.0
749,incremental data structures and algorithms for dynamic query interfaces 1996,"e tanin , r beigel , b shneiderman",sigmod record,None
750,on computing correlated aggregates over continual data streams 2001,"j gehrke , f korn , d srivastava",sigmod conference,None
751,spotfire : an information exploration environment c ahlberg sigmod record 1996,None,None,None
752,new standard for stored procedures in sql a eisenberg,None,sigmod record,1996.0
753,"finding generalized projected clusters in high dimensional spaces c aggarwal , p yu",None,sigmod conference,2000.0
754,"tcp-d - the challenges , issues and results r bhashyam sigmod record 1996",None,None,None
755,density biased sampling : an improved method for data mining and clustering 2000,"c palmer , c faloutsos",sigmod conference,None
756,high speed on-line backup when using logical log operations 2000,d lomet,sigmod conference,None
757,report from the nsf workshop on workflow and process automation in information systems 1996,None,None,None
758,the mariposa distributed database management system sigmod record,j sidell,None,1996.0
759,efficient resumption of interrupted warehouse loads 2000,"w labio , j wiener , h garcia-molina , v gorelik",sigmod conference,None
760,"domains , relations and religious wars r camps",None,sigmod record,1996.0
761,the prototype of the dare system 2001,"t catarci , g santucci",sigmod conference,None
762,"guidelines for presentation and comparison of indexing techniques j zobel , a moffat , k ramamohanarao 1996",None,sigmod record,None
763,pbir - perception-based image retrieval,"e chang , t cheng , l chang",sigmod conference,2001.0
764,will database researchers have any role in data security ? ( panel abstract ) 2001,a rosenthal,sigmod conference,None
765,new programs at darpa and nsf sigmod record,x qian,None,1996.0
766,monitoring xml data on the web,"b nguyen , s abiteboul , g cobena , m preda",sigmod conference,2001.0
767,editor 's notes j widom sigmod record 1996,None,None,None
768,"finding replicated web collections j cho , n shivakumar , h garcia-molina",None,sigmod conference,2000.0
769,"a comparison of three user interfaces to relational microcomputer data bases c medsker , m christensen , i song",None,sigmod record,1995.0
770,efficient and cost-effective techniques for browsing and indexing large video databases,"j oh , k hua",sigmod conference,2000.0
771,editor 's ( farewell ) notes 1995,None,None,None
772,efficient algorithms for mining outliers from large data sets 2000,"s ramaswamy , r rastogi , k shim",sigmod conference,None
773,implementation aspects of an object-oriented dbms sigmod record 1995,"a dogac , m altinel , c ozkan , i durusoy",None,None
774,hodfa : an architectural framework for homogenizing heterogeneous legacy database sigmod record,"k karlapalem , q li , c shum",None,1995.0
775,"designing and mining multi-terabyte astronomy archives : the sloan digital sky survey a szalay , p kunszt , a thakar , j gray , d slutz",None,sigmod conference,2000.0
776,"approximating multi-dimensional aggregate range queries over real attributes d gunopulos , g kollios , v tsotras , c domeniconi 2000",None,sigmod conference,None
777,a close look at the ifo data model sigmod record,m hanna,None,1995.0
778,an annotated bibliography of benchmarks for object databases sigmod record,a chaudhri,None,1995.0
779,congressional samples for approximate answering of group-by queries,"s acharya , p gibbons , v poosala",sigmod conference,2000.0
780,"counting , enumerating , and sampling of execution plans in a cost-based query optimizer 2000","f waas , c galindo-legaria",sigmod conference,None
781,an annotated bibliography on active databases sigmod record,"u jaeger , j freytag",None,1995.0
782,"benchmarking queries over trees : learning the hard truth the hard way f wattez , s cluet , v benzaken , g ferran , c fiegel sigmod conference",None,None,2000.0
783,"acm multimedia '94 conference workshop on multimedia database management systems p berra , k nwosu , b thuraisingham 1995",None,sigmod record,None
784,answering complex sql queries using automatic summary tables sigmod conference,"m zaharioudakis , r cochrane , g lapis , h pirahesh , m urata",None,2000.0
785,information finding in a digital library : the stanford perspective 1995,"t yan , h garcia-molina",sigmod record,None
786,"turmoil at nasa , and numerous funding announcements x qian 1995",None,sigmod record,None
787,closest pair queries in spatial databases sigmod conference 2000,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",None,None
788,"efficient and extensible algorithms for multi query optimization p roy , s seshadri , s sudarshan , s bhobe",None,sigmod conference,2000.0
789,"why decision support fails and how to fix it r kimball , k strehlo sigmod record 1995",None,None,None
790,application of oodb and sgml techniques in text database : an electronic dictionary system j zhang sigmod record,None,None,1995.0
791,"eddies : continuously adaptive query processing r avnur , j hellerstein sigmod conference 2000",None,None,None
792,normalization in oodb design b lee sigmod record 1995,None,None,None
793,a chase too far ?,"l popa , a deutsch , a sahuguet , v tannen",sigmod conference,2000.0
794,"on the issue of valid time ( s ) in temporal databases s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos 1995",None,sigmod record,None
795,"a framework for expressing and combining preferences r agrawal , e wimmers sigmod conference",None,None,2000.0
796,addressing techniques used in database object managers o2 and orion,"a gamache , n sahraoui",sigmod record,1995.0
797,"a data model and data structures for moving objects databases l forlizzi , r gќting , e nardelli , m schneider",None,sigmod conference,2000.0
798,metu interoperable database system sigmod record 1995,"a dogac , c dengi , e kilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s mancuhan",None,None
799,"adaptive multi-stage distance join processing h shin , b moon , s lee",None,sigmod conference,2000.0
800,"aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems l liu , c pu , d buttler , w han , h paques , w tang sigmod conference",None,None,2000.0
801,"metadata for digital media : introduction to the special issue w klas , a sheth sigmod record 1994",None,None,None
802,\ are the terms \ '' \ `` version \ '' \ '' and \ '' \ `` variant \ '' \ '' orthogonal to one another ? a critical assessment of the step standardization \ '' '' sigmod record 1994,h wedekind,None,None
803,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite 2000,"m gillmann , j weiпenfels , g shegalov , w wonner , g weikum",sigmod conference,None
804,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",None,None,2000.0
805,"metadata in video databases r jain , a hampapur",None,sigmod record,1994.0
806,metadata for multimedia documents sigmod record 1994,"k bіhm , t rakow",None,None
807,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000.0
808,data mining on an oltp system ( nearly ) for free 2000,"e riedel , c faloutsos , g ganger , d nagle",sigmod conference,None
809,a new join algorithm sigmod record,"d shin , a meltzer",None,1994.0
810,mining frequent patterns without candidate generation 2000,"j han , j pei , y yin",sigmod conference,None
811,data modelling in the large m bertram sigmod record,None,None,1994.0
812,editor 's notes and erratum,None,None,1994.0
813,"on-line reorganization in object databases m lakhamraju , r rastogi , s seshadri , s sudarshan",None,sigmod conference,2000.0
814,turbo-charging vertical mining of large databases,"p shenoy , j haritsa , s sudarshan , g bhalotia , m bawa , d shah",sigmod conference,2000.0
815,"a metadatabase system for semantic image search by a mathematical model of meaning y kiyoki , t kitagawa , t hayama sigmod record 1994",None,None,None
816,trade press news,None,None,1995.0
817,"dlfm : a transactional resource manager h hsiao , i narang",None,sigmod conference,2000.0
818,the database group at university of hagen ( fernuniversitaet ),"g schlageter , t berkel , e heuel , s mittrach , a scherer , w wilkes",sigmod record,1995.0
819,expressing business rules sigmod conference 2000,r ross,None,None
820,anatomy of a real e-commerce system a jhingran sigmod conference 2000,None,None,None
821,calls for papers and announcements sigmod record,None,None,1995.0
822,handling very large databases with informix extended parallel server a weininger 2000,None,sigmod conference,None
823,political winds change direction again sigmod record 1995,x qian,None,None
824,fact : a learning based web query processing system,"s chen , y diao , h lu , z tian",sigmod conference,2000.0
825,implementing deletion in b + - trees,j jannink,sigmod record,1995.0
826,"multigranularity locking in multiple job classes transaction processing system s ng , s hung sigmod record 1995",None,None,None
827,"an approximate search engine for structural databases j wang , x wang , d shasha , b shapiro , k zhang , x zheng , q ma , z weinberg 2000",None,sigmod conference,None
828,"concept based design of data warehouses : the dwq demonstrators m jarke , c quix , d calvanese , m lenzerini , e franconi , s ligoudistianos , p vassiliadis , y vassiliou sigmod conference 2000",None,None,None
829,information systems research at rwth aachen 1995,m jarke,sigmod record,None
830,ajax : an extensible data cleaning tool sigmod conference,"h galhardas , d florescu , d shasha , e simon",None,2000.0
831,"the third manifesto h darwen , c date 1995",None,sigmod record,None
832,lh * rs : a high-availability scalable distributed data structure using reed solomon codes sigmod conference,"w litwin , t schwarz",None,2000.0
833,"the database group at national technical university of athens ( ntua ) t sellis , y vassiliou 1995",None,sigmod record,None
834,"opportunities at arpa , nsf , and elsewhere",x qian,sigmod record,1995.0
835,wsq/dsq : a practical approach for combined querying of databases and the web sigmod conference 2000,"r goldman , j widom",None,None
836,parallelism and its price : a case study of nonstop sql/mp sigmod record 1995,"s englert , r glasstone , w hasan",None,None
837,mocha : a self-extensible database middleware system for distributed data sources 2000,"m rodriguez-martinez , n roussopoulos",sigmod conference,None
838,"sql/cli - a new binding style for sql m venkatrao , m pizzo 1995",None,sigmod record,None
839,"towards self-tuning data placement in parallel database systems m lee , m kitsuregawa , b ooi , k tan , a mondal sigmod conference",None,None,2000.0
840,report on the 1995 international workshop on temporal databases 1995,None,None,None
841,"webview materialization a labrinidis , n roussopoulos sigmod conference",None,None,2000.0
842,temporal database system implementations m bіhlen sigmod record,None,None,1995.0
843,"niagaracq : a scalable continuous query system for internet databases j chen , d dewitt , f tian , y wang sigmod conference 2000",None,None,None
844,view maintenance in mobile computing sigmod record,"o wolfson , a sistla , s dao , k narayanan , r raj",None,1995.0
845,terraserver : a spatial data warehouse 2000,"t barclay , d slutz , j gray",sigmod conference,None
846,"indexing the positions of continuously moving objects s saltenis , c jensen , s leutenegger , m lopez sigmod conference",None,None,2000.0
847,managing video data in a mobile environment sigmod record,"r alonso , y chang , l iftode , v mani",None,1995.0
848,how to roll a join : asynchronous incremental view maintenance,"k salem , k beyer , r cochrane , b lindsay",sigmod conference,2000.0
849,mobile computing and databases : anything new ?,"m dunham , a helal",sigmod record,1995.0
850,wireless client/server computing for personal information services and applications sigmod record 1995,"a elmagarmid , j jing , t furukawa",None,None
851,"on wrapping query languages and efficient xml integration v christophides , s cluet , j simщon sigmod conference 2000",None,None,None
852,"data and knowledge base research at hong kong university of science and technology p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wќthrich sigmod record 1995",None,None,None
853,lof : identifying density-based local outliers sigmod conference,"m breunig , h kriegel , r ng , j sander",None,2000.0
854,synchronizing a database to improve freshness 2000,"j cho , h garcia-molina",sigmod conference,None
855,from the guest editors - special section on data management issues in mobile computing,"m dunham , a helal",None,1995.0
856,digital library services in mobile computing 1995,"b bhargava , m annamalai , e pitoura",sigmod record,None
857,"spatial join selectivity using power laws c faloutsos , b seeger , a traina , c jr. sigmod conference",None,None,2000.0
858,"influence sets based on reverse nearest neighbor queries f korn , s muthukrishnan sigmod conference",None,None,2000.0
859,an annotated bibliography on real-time database systems,ж ulusoy,sigmod record,1995.0
860,"xmill : an efficient compressor for xml data h liefke , d suciu sigmod conference 2000",None,None,None
861,editor 's notes j widom sigmod record,None,None,1995.0
862,a research status report on adaptation for mobile data access,"b noble , m satyanarayanan",sigmod record,1995.0
863,xtract : a system for extracting document type descriptors from xml documents sigmod conference,"m garofalakis , a gionis , r rastogi , s seshadri , k shim",None,2000.0
864,mapping extended entity relationship model to object modeling technique j fong,None,sigmod record,1995.0
865,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract ) 2000,a nori,sigmod conference,None
866,index research : forest or trees ? ( panel abstract ),j hellerstein,sigmod conference,2000.0
867,"multi-table joins through bitmapped join indices p o'neil , g graefe sigmod record 1995",None,None,None
868,"optimizing jan jannink 's implementation of b + - tree deletion r maelbrancke , h olivie 1995",None,sigmod record,None
869,from browsing to interacting : dbms support for responive websites ( abstract ) r ramakrishnan 2000,None,sigmod conference,None
870,"\ response to \ '' \ `` a close look at the ifo data model \ '' \ '' \ '' '' s abiteboul , r hull 1995",None,sigmod record,None
871,sqlem : fast clustering in sql using the em algorithm,"c ordonez , p cereghini",sigmod conference,2000.0
872,tutorial : data access,None,None,2000.0
873,condition handling in sql persistent stored modules j richey 1995,None,sigmod record,None
874,"data management research at the mitre corporation a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",None,sigmod record,1995.0
875,"data management in ecommerce : the good , the bad , and the ugly",None,None,2000.0
876,tutorial : designing an ultra highly available dbms,None,None,2000.0
877,"florida international university high performance database research center n rishe , w sun , d barton , y deng , c orji , m alexopoulos , l loureiro , c 0002 , m sanchez , a shaposhnikov",None,sigmod record,1995.0
878,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,"e pitoura , b bhargava",sigmod record,1995.0
879,on xml and databases : where 's the beef ? ( panel abstract ) 2000,m carey,sigmod conference,None
880,making b + - trees cache conscious in main memory sigmod conference,"j rao , k ross",None,2000.0
881,an introduction to remy 's fast polymorphic record projection sigmod record 1995,l wong,None,None
882,"an aspect of query optimization in multidatabase systems ( extended abstract ) c lee , c chen , h lu sigmod record",None,None,1995.0
883,"privacy-preserving data mining r agrawal , r srikant sigmod conference 2000",None,None,None
884,design and user testing of a multi-paradigm query interface to an object-oriented database,"d doan , n paton , a kilgour",sigmod record,1995.0
885,"on effective multi-dimensional indexing for strings h jagadish , n koudas , d srivastava sigmod conference 2000",None,None,None
886,editor 's notes 1995,j widom,sigmod record,None
887,the onion technique : indexing for linear optimization queries 2000,"y chang , l bergman , v castelli , c li , m lo , j smith",sigmod conference,None
888,internet traffic warehouse 2000,"c chen , m cochinwala , c petrone , m pucci , s samtani , p santa , m mesiti",sigmod conference,None
889,calls for papers and announcements sigmod record,None,None,1995.0
890,"indexing images in oracle8i m annamalai , r chopra , s defazio sigmod conference",None,None,2000.0
891,the new middleware sigmod record,r finkelstein,None,1995.0
892,"replication : db2 , oracle , or sybase ? d stacey sigmod record 1995",None,None,None
893,online index rebuild 2000,"n ponnekanti , h kodavalla",sigmod conference,None
894,trade press news,None,None,1995.0
895,maintenance of automatic summary tables sigmod conference,"w lehner , r sidle , h pirahesh , r cochrane",None,2000.0
896,trade press news 1994,None,None,None
897,integrating replacement policies in storm : an extensible approach,"c goh , b ooi , s bressan , k tan",sigmod conference,2000.0
898,progress on hpcc and nii sigmod record,m winslett,None,1994.0
899,the mlpq/gis constraint database system sigmod conference,"p revesz , r chen , p kanjamala , y li , y liu , y wang",None,2000.0
900,efficient concurrency control in multidimensional access methods 1999,"k chakrabarti , s mehrotra",sigmod conference,None
901,"analysis of predictive spatio-temporal queries y tao , j sun , d papadias 2003",None,acm trans . database syst .,None
902,"efficient dynamic mining of constrained frequent sets l lakshmanan , c leung , r ng 2003",None,acm trans . database syst .,None
903,"fast algorithms for projected clustering c aggarwal , c procopiuc , j wolf , p yu , j park 1999",None,sigmod conference,None
904,"image mining in iris : integrated retinal information system w hsu , m lee , k goh",None,sigmod conference,2000.0
905,"effective page refresh policies for web crawlers j cho , h garcia-molina acm trans . database syst . 2003",None,None,None
906,preference formulas in relational queries,j chomicki,acm trans . database syst .,2003.0
907,"mocha : a database middleware system featuring automatic deployment of application-specific functionality m rodriguez-martinez , n roussopoulos , j mcgann , s kelley , v katz , z song , j jсjс sigmod conference",None,None,2000.0
908,"tip : a temporal extension to informix j yang , h ying , j widom",None,sigmod conference,2000.0
909,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003,"y diao , m altinel , m franklin , h zhang , p fischer",None,None
910,"spire : a progressive content-based spatial image retrieval engine c li , l bergman , v castelli , j smith 2000",None,sigmod conference,None
911,index-driven similarity search in metric spaces acm trans . database syst . 2003,"g hjaltason , h samet",None,None
912,homer : a model-based case tool for data-intensive web sites sigmod conference,"p merialdo , p atzeni , m magnante , g mecca , m pecorone",None,2000.0
913,"research perspectives for time series management systems w dreyer , a dittrich , d schmidt",None,sigmod record,1994.0
914,"supporting dynamic displays using active rules o dэaz , a jaime , n paton , g al-qaimari sigmod record",None,None,1994.0
915,javax.xxl : a prototype for a library of query processing algorithms,"j bercken , j dittrich , b seeger",sigmod conference,2000.0
916,overview of the special section on temporal database infrastructure 1994,r snodgrass,sigmod record,None
917,"i3 : intelligent , interactive investigaton of olap data cubes 2000","s sarawagi , g sathe",sigmod conference,None
918,"towards data mining benchmarking : a testbed for performance study of frequent pattern mining j pei , r mao , k hu , h zhu sigmod conference",None,None,2000.0
919,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop 1994,None,None,None
920,tutorial : ldap directory services - just another database application ?,None,None,2000.0
921,"tsql2 language specification r snodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada sigmod record",None,None,1994.0
922,text databases : a survey of text models and systems a loeffen sigmod record,None,None,1994.0
923,self-organizing data sharing communities with sagres,"z ives , a levy , j madhavan , r pottinger , s saroiu , i tatarinov , s betzler , q chen , e jaslikowska , j su , w yeung",sigmod conference,2000.0
924,the database research group at eth zurich,"m norrie , s blott , h schek , g weikum",sigmod record,1994.0
925,"lambda-db : an odmg-based object-oriented dbms l fegaras , c srinivasan , a rajendran , d maier",None,sigmod conference,2000.0
926,influencing database language standards sigmod record,l gallagher,None,1994.0
927,"serfing the web : web site management made easy e rundensteiner , k claypool , l chen , h su , k oenoki 2000",None,sigmod conference,None
928,computing capabilities of mediators sigmod conference,"r yerneni , c li , h garcia-molina , j ullman",None,1999.0
929,understanding the global semantics of referential actions using logic rules,"w may , b ludфscher",acm trans . database syst .,2002.0
930,efficient geometry-based similarity search of 3d spatial databases sigmod conference,d keim,None,1999.0
931,adaptive algorithms for set containment joins,"s melnik , h garcia-molina",acm trans . database syst .,2003.0
932,"a layered architecture for querying dynamic web content h davulcu , j freire , m kifer , i ramakrishnan 1999",None,sigmod conference,None
933,information management for genome level bioinformatics,None,None,2001.0
934,"silkroute : a framework for publishing relational data in xml m fernandez , y kadiyska , d suciu , a morishima , w tan 2002",None,acm trans . database syst .,None
935,"searching in metric spaces with user-defined and approximate distances p ciaccia , m patella acm trans . database syst .",None,None,2002.0
936,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999.0
937,bottom-up computation of sparse and iceberg cubes sigmod conference 1999,"k beyer , r ramakrishnan",None,None
938,fast incremental maintenance of approximate histograms acm trans . database syst . 2002,"p gibbons , y matias , v poosala",None,None
939,"client-site query extensions t mayr , p seshadri",None,sigmod conference,1999.0
940,searching for dependencies at multiple abstraction levels 2002,"t calders , r ng , j wijsen",acm trans . database syst .,None
941,"a new method for similarity indexing of market basket data c aggarwal , j wolf , p yu",None,sigmod conference,1999.0
942,locally adaptive dimensionality reduction for indexing large time series databases 2002,"k chakrabarti , e keogh , s mehrotra , m pazzani",acm trans . database syst .,None
943,"cost models for overlapping and multiversion structures y tao , d papadias , j zhang",None,acm trans . database syst .,2002.0
944,"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999",None,None,None
945,"an efficient bitmap encoding scheme for selection queries c chan , y ioannidis sigmod conference",None,None,1999.0
946,"iterative spatial join e jacox , h samet 2003",None,acm trans . database syst .,None
947,"approximate computation of multidimensional aggregates of sparse data using wavelets j vitter , m wang sigmod conference 1999",None,None,None
948,removing permissions in the flexible authorization framework,"d wijesekera , s jajodia , f parisi-presicce , х hagstrіm",acm trans . database syst .,2003.0
949,an adaptive query execution system for data integration 1999,"z ives , d florescu , m friedman , a levy , d weld",sigmod conference,None
950,"spatial queries in dynamic environments y tao , d papadias acm trans . database syst . 2003",None,None,None
951,"a comparison of selectivity estimators for range queries on metric attributes b blohsfeld , d korus , b seeger sigmod conference",None,None,1999.0
952,are quorums an alternative for data replication ? acm trans . database syst . 2003,"r jimщnez-peris , m patiёo-martэnez , g alonso , b kemme",None,None
953,belief reasoning in mls deductive databases sigmod conference,h jamil,None,1999.0
954,"on the computation of relational view complements j lechtenbіrger , g vossen acm trans . database syst . 2003",None,None,None
955,discovering all most specific sentences acm trans . database syst . 2003,"d gunopulos , r khardon , h mannila , s saluja , h toivonen , r sharm",None,None
956,"efficient concurrency control for broadcast environments j shanmugasundaram , a nithrakashyap , r sivasankaran , k ramamritham",None,sigmod conference,1999.0
957,a simple algorithm for finding frequent elements in streams and bags 2003,"r karp , s shenker , c papadimitriou",acm trans . database syst .,None
958,"boat-optimistic decision tree construction j gehrke , v ganti , r ramakrishnan , w loh 1999",None,sigmod conference,None
959,a multimedia presentation algebra sigmod conference,"s adali , m sapino , v subrahmanian",None,1999.0
960,description logics for semantic query optimization in object-oriented database systems acm trans . database syst . 2003,"d beneventano , s bergamaschi , c sartori",None,None
961,editor 's notes a segev 1994,None,sigmod record,None
962,a user-centered interface for querying distributed multimedia databases sigmod conference 1999,"i cruz , k james",None,None
963,a tsql2 tutorial sigmod record 1994,"nodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",None,None
964,"integration of spatial join algorithms for processing multiple inputs n mamoulis , d papadias",None,sigmod conference,1999.0
965,"evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes e rundensteiner , a koeller , x zhang , a wyk , y li , a lee , a nica",None,sigmod conference,1999.0
966,"announcements from nsf , nasa , and elsewhere 1994",x qian,sigmod record,None
967,calls for papers / announcements sigmod record 1994,None,None,None
968,"exploratory mining via constrained frequent set queries r ng , l lakshmanan , j han , t mah sigmod conference 1999",None,None,None
969,research issues in databases for arcs : active rapidly changing data systems a datta sigmod record,None,None,1994.0
970,domino : databases for moving objects tracking sigmod conference 1999,"o wolfson , a sistla , b xu , j zhou , s chamberlain",None,None
971,"database patchwork on the internet r braumandl , a kemper , d kossmann sigmod conference 1999",None,None,None
972,how to modify sql queries in order to guarantee sure answers h klein sigmod record 1994,None,None,None
973,database research at nthu and itri a chen 1994,None,sigmod record,None
974,an xml-based wrapper generator for web information extraction 1999,"l liu , w han , d buttler , c pu , w tang",sigmod conference,None
975,"response to the march 1994 odmg-93 commentary written by dr. won kim of unisql , inc sigmod record 1994",o group,None,None
976,"dbis-toolkit : adaptable middleware for large scale data delivery m altinel , d aksoy , t baby , m franklin , w shapiro , s zdonik",None,sigmod conference,1999.0
977,daytona and the fourth-generation language cymbal r greer,None,sigmod conference,1999.0
978,"metadata for integrating speech documents in a text retrieval system u glavitsch , p schфuble , m wechsler",None,sigmod record,1994.0
979,metadata for mixed-media access sigmod record,"f chen , m hearst , j kupiec , j pedersen , l wilcox",None,1994.0
980,"data integration and warehousing in telecom italia s trisolini , m lenzerini , d nardi sigmod conference 1999",None,None,None
981,sequoia 2000 metadata schema for satellite images sigmod record,"j anderson , m stonebraker",None,1994.0
