id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
3383,1,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop,None,None,1994,"b. theodoulidis , and u. dayal , \ \ towards an infrastructure for temporal databases , ''","n pissinou , r snodgrass , r elmasri , i mumick , t","sigmod record ,",None
3384,0,"the glue-nail deductive database system : design , implementation , and evaluation","m derr , s morishita , g phipps",vldb j.,1994,"the design , implementation and evaluation of a software-based real-time ethernet protocol","t chiueh , c venkatramani","proceedings of acm sigcomm ,",1995.0
3385,0,rainbow : distributed database system for classroom education and experimental research,"a helal , h li",vldb,2000,rule and data allocation in distributed deductive database systems,"sj lim , yk ng",None,None
3386,0,the mariposa distributed database management system,j sidell,sigmod record,1996,the wasa2 object-oriented workflow management system,"g vossen , m weske","sigmod conference ,",1999.0
3387,0,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim",vldb,2000,sequnce query processing,"p seshadri , m livny , r ramakrishnan","proc . of the acm sigmod conf. , pages430441 , minneapolis , mn , & hellip ; ,",None
3388,0,approximate xml joins,"s guha , h jagadish , n koudas , d srivastava , t yu",sigmod conference,2002,approximate xpath,lin xu,None,2004.0
3389,0,answering queries using views : a survey,a halevy,vldb j.,2001,theory of answering queries using views,ay halevy,"sigmod record ,",2000.0
3390,0,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",None,None,2000,source international conference on management of data archive,c zaniolo,"proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0
3391,0,editor 's notes and erratum,None,None,1994,editor 's notes,r diem,"social studies and the young learner ,",None
3392,0,dynamic load balancing in hierarchical parallel database systems,"l bouganim , d florescu , p valduriez",vldb,1996,managing intra-operator parallelism in parallel database systems,m mehta,"proceedings of the international conference on very large & hellip ; ,",1995.0
3393,1,semcog : an object-based image retrieval system and its visual query interface,"w li , k candan , k hirata , y hara",sigmod conference,1997,an object-based image retrieval system and its visual query interface,"ws li , ks candan , k hirata , yh semcog",demonstration at the sigmod conference on management of data,None
3394,0,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,fast algorithms for mining association rules,"d xin , j han , x li , b wah","proc . int . conf . on very large databases ( vldb ) ,",None
3395,0,guest editorial,None,None,2000,guest editor 's introduction,f dehne,"algorithmica ,",1999.0
3396,0,query processing and optimization in oracle rdb,"g antoshenkov , m ziauddin",vldb j.,1996,rule-based optimization and query processing in an extensible geometric database system,"l becker , rh gueting","acm transactions on database systems ,",1992.0
3397,0,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995,concurrency control for distributed real-time databases,"l sha , r rajkumar","acm sigmod record ,",1988.0
3398,0,guest editorial : databases and the web,None,None,2000,guest editorial,kn ngan,ieee trans . circuits syst . video,None
3399,0,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,"relational , and multidimensional database systems",o george colliat,"sigmod record ,",None
3400,0,secure buffering in firm real-time database systems,"b george , j haritsa",vldb,1998,special section on advances in realtime database systems,a bestavros,"sigmod record ,",None
3401,0,flexible support for multiple access control policies,"s jajodia , p samarati , m sapino , v subrahmanian",acm trans . database syst .,2001,supporting multiple access control policies in database systems,"e bertino , s jajodia , p samarati",None,None
3402,0,converting relational to object-oriented databases,j fong,sigmod record,1997,the o2 object-oriented database system,f bancilhon,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0
3403,0,implementation and analysis of a parallel collection query language,d suciu,vldb,1996,db2 query parallelism : staging and implementation,y wang,"proceedings of the 21th international conference on very & hellip ; ,",1995.0
3404,0,foundations of preferences in database systems,w kieпling,vldb,2002,data abstractions for database systems,"pc lockemann , hc mayr , wh weil , wh wohlleber","acm transactions on database systems ,",1979.0
3405,0,the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002,the nimble integration engine,"d draper , ay halevy , ds weld","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
3406,0,data management for earth system science,"j frew , j dozier",sigmod record,1997,bigsur : a system for the management of earth science data,"p brown , m stonebraker","& hellip ; international conference on very large data bases table of & hellip ; ,",1995.0
3407,0,querying xml views of relational data,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk",vldb,2001,indexing xml data stored in a relational database,"s pal , i cseri , o seeliger , g schaller , l","proceedings of the international conference on very large & hellip ; ,",2004.0
3408,0,general match : a subsequence matching method in time-series databases based on generalized windows,"y moon , k whang , w han",sigmod conference,2002,duality-based subsequence matching in time-series databases,"ys moon , ky whang , wk loh",None,None
3409,0,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002,"relational , and multidimensional database systems",o george colliat,"sigmod record ,",None
3410,0,d ( k ) - index : an adaptive structural summary for graph-structured data,"c qun , a lim , k ong",sigmod conference,2003,apex : an adaptive path index for xml data,"j min , c chung , k shim","proceedings of sigmod ,",None
3411,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,an efficient index structure for string databases,"t kahveci , ak singh","vldb ,",2001.0
3412,0,discovery of multiple-level association rules from large databases,"j han , y fu",vldb,1995,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",None,1995.0
3413,1,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000,using sql to build new aggregates and extenders for object-relational systems,"h wang , c zaniolo","proceedings of the 26th international conference on very & hellip ; ,",2000.0
3414,0,query processing over object views of relational data,"g fahl , t risch",vldb j.,1997,query processing in the objectstore database system,"ja orenstein , s haradhvala , b margulies , d",None,None
3415,0,agent-based semantic interoperability in infosleuth,"j fowler , b perry , m nodine , b bargmeyer",sigmod record,1999,semantic interoperability in information services :,a gal,"sigmod record ,",1999.0
3416,0,integration of spatial join algorithms for processing multiple inputs,"n mamoulis , d papadias",sigmod conference,1999,a performance evaluation of four parallel join algorithms in a shared-nothing multiprocessor,"da scheneider , dj dewitt","proc . acm sigmod , portland",None
3417,0,design and analysis of parametric query optimization algorithms,s ganguly,vldb,1998,a comparative analysis of evolutionary algorithms for function optimisation,"i de falco , r del balio , a della cioppa , e",procs . of the second workshop on evolutionary computing (,None
3418,1,a case for fractured mirrors,"r ramamurthy , d dewitt , q su",vldb j.,2003,de-witt . a case for fractured mirrors,"qsr ramamurthy , j david","proc . vldb , hong kong ,",None
3419,1,generalizing gloss to vector-space databases and broker hierarchies,"l gravano , h garcia-molina",vldb,1995,h. 1995 . generalizing gloss to vector-space databases and broker hierarchies,"l gravano , g ä ± a-molina",proceedings of the 21st international conference on very,None
3420,0,an efficient method for checking object-oriented database schema correctness,"a formica , h grіger , m missikoff",acm trans . database syst .,1998,birch : an efficient data clustering method for large databases,"t zhang , r ramakrishnan , m linvy",proc . of 1996 acm-sigmod int . conf . on management of,None
3421,1,reusing invariants : a new strategy for correlated queries,"j rao , k ross",sigmod conference,1998,reusing invariants : a new strategy for correlated queries,"j rao , ka ross","sigmod conference ,",1998.0
3422,0,data mining techniques,j han,sigmod conference,1996,software testing techniques,b beizer,None,None
3423,0,path queries on compressed xml,"p buneman , m grohe , c koch",vldb,2003,optimizing queries on compressed bitmaps,"s amer-yahia , t johnson","proceedings of the 26th international conference on very & hellip ; ,",2000.0
3424,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,database management systems in 1990,jl berg,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0
3425,0,environment information systems - guest editor 's foreword,None,None,1997,information visualization guest editors ' foreword,"e ioannidis , r beigel , b shneiderman , jb kennedy ,","sigmod record ,",1996.0
3426,0,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,an effective algorithm for mining of association rules,js parkâ ? ¦,"proceedings of acm sigmod conference on management of data , & hellip ; ,",None
3427,0,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,mining multi-dimensional association rules using data cubes,"j han , m kamber , j chiang",None,None
3428,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,database management systems,"r ramakrishnan , j gehrke",None,2002.0
3429,0,maintenance of implication integrity constraints under updates to constraints,"n ishakbeyoglu , z жzsoyoglu",vldb j.,1998,selection of views to materialize under a maintenance cost constraint,"h gupta , is mumick","lecture notes in computer science ,",1999.0
3430,0,near neighbor search in large metric spaces,s brin,vldb,1995,an efficient access method for similarity search in metric spaces,"p ciaccia , m patella , p zezula",proceedings of the 23rd international conference on very,None
3431,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,performance evaluation of a temporal database management system,r snodgrass,"proc . acm sigmod , conf management of data , may ,",None
3432,0,the mariposa distributed database management system,j sidell,sigmod record,1996,multimedia database management systems ( panel ),s christodoulakis,"sigmod conference ,",None
3433,0,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002,real-time database and information systems : research advances,"a bestavros , v fay-wolfe",None,1997.0
3434,1,fast computation of sparse datacubes,"k ross , d srivastava",vldb,1997,fast computation of sparse datacubes,"a kenneth , d srivastava",None,None
3435,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,spatial query processing in an object-oriented system,j orenstein,"proc . acm sigmod/nt/conf . on the management of data , may ,",None
3436,0,query processing techniques for arrays,"a marathe , k salem",vldb j.,2002,6 access methods and query processing techniques,"a di pasquale , l forlizzi , cs jensen , y",None,None
3437,0,report on the first international workshop an efficient web-based information systems,None,None,2003,analysis and design of web-based information systems,"k takahashi , e liang","www6 / computer networks ,",1997.0
3438,0,implementation aspects of an object-oriented dbms,"a dogac , m altinel , c ozkan , i durusoy",sigmod record,1995,event specification in an object-oriented database,"nh gehani , hv jagadish , o shmueli",proceedings international conference on management of,None
3439,0,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003,data extraction and transformation for the data warehouse,c squire,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0
3440,1,chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gќting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1999,chorochronos : a research network for spatiotemporal database systems .,acms anthology,"sigmod record ,",1999.0
3441,1,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,view maintenance in a warehouse environment,"y zhuge , h garcia-molina , jl wiener","acm sigmod int . conf . on management of data ,",None
3442,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,spatial indexing of high-dimensional data based on relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima","the vldb journal the international journal on very large & hellip ; ,",2002.0
3443,0,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,joining interval data in relational databases,"j enderle , m hampel , t seidl","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
3444,1,fast algorithms for projected clustering,"c aggarwal , c procopiuc , j wolf , p yu , j park",sigmod conference,1999,fast algorithms for projected clustering,"cc aggarwal , c procopiuc , jl wolf , ps yu , js park","sigmod conference ,",1999.0
3445,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,None
3446,0,database management systems and the internet,s malaika,vldb,1996,current status of r & d in trusted database management systems,b thuraisingham,"acm sigmod record ,",1992.0
3447,0,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,logical introduction to databases,j grant,None,1987.0
3448,0,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,index concurrency control in firm real-time database systems,"b goyal , jr haritsa , s seshadri , v srinivasan","proceedings of the 21th international conference on very & hellip ; ,",1995.0
3449,0,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,"d. dewitt â ?? equidepth histograms for estimating selectivity factors for multi-dimensional queries ,",m muralikrishna,"proceedings of the acm sigmod conference , pp ,",None
3450,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,an approach to implementing a relational data management system,jb rothnie jr,"proceedings of the 1974 acm sigfidet ( now sigmod ) workshop & hellip ; ,",1974.0
3451,0,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,"object-oriented concepts , databases and applications","w kim , fh lochovsky",None,1989.0
3452,0,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori",acm trans . database syst .,2003,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , tw ling","acm transactions on database systems ,",2002.0
3453,0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,the distributed deadlock detection algorithm,dz badal,"acm transactions on computer systems ,",1986.0
3454,0,the multidimensional database system rasdaman,"p baumann , a dehmel , p furtado , r ritsch , n widmann",sigmod conference,1998,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",None
3455,0,editor 's notes,l liu,sigmod record,2002,editor 's notes,sb merriam,"new directions for adult and continuing education ,",None
3456,0,access path support for referential integrity in sql2,"t hфrder , j reinert",vldb j.,1996,referential integrity,cj date,"vldb ,",1981.0
3457,0,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,automating physical database design in a parallel database system,"j rao , c zhang , g lohman , n megiddo",None,2002.0
3458,0,algorithms for mining distance-based outliers in large datasets,"e knorr , r ng",vldb,1998,fast algorithms for mining association rules in large databases,"r argrawal , r srikant",None,1994.0
3459,0,peer-to-peer : harnessing the power of disruptive technologies,m nascimento,sigmod record,2003,"listening to napster . peer-to-peer : harnessing the power of disruptive technologies , andy oram ( edt .",c shirky,None,2001.0
3460,0,report on second international workshop on advanced issues of e-commerce and web-based information systems,None,None,2000,report on the first international workshop on efficient web-based information systems,"z lacroix , o boucelma","acm sigmod record ,",2003.0
3461,1,e-commerce database issues and experience,a rajaraman,sigmod conference,1999,e-commerce database issues and experience : ( talk-slides available at at the conference ),a rajaraman,"proceedings of the 1999 acm sigmod international conference & hellip ; ,",1999.0
3462,1,dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro , s zdonik",sigmod conference,1999,dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro ,","sigmod conference ,",1999.0
3463,0,"lh * - a scalable , distributed data structure","w litwin , m neimat , d schneider",acm trans . database syst .,1996,implementing lh * rs : a scalable distributed highly-available data structure,m ljungstrã ¶ m,"master thesis , feb. 2000 , cs dept. , u. linkoping ,",None
3464,0,the persistent cache : improving oid indexing in temporal object-oriented database systems,k nјrvхg,vldb,1999,object-oriented database systems : in transition,"f bancilhon , w kim","sigmod record ,",1990.0
3465,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,implementation of schema evolution in object-oriented databases,"j banerjee , wk semantics","proceedings of the 1987 acm sigmod intenational conference & hellip ; ,",None
3466,0,guest editorial,None,None,2001,guest editorial,"z bankowski , a scott , f snyder","european law journal ,",1998.0
3467,1,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003,e cient similarity search and classi cation via rank aggregation,"r fagin , r kumar , d sivakumar","proceedings of the acm sigmod conference on management of & hellip ; ,",None
3468,0,efficient algorithms for processing xpath queries,"g gottlob , c koch , r pichler",vldb,2002,efficient processing of fuzzy sql queries in fuzzy databases,"q yang , j wu , c yu , c liu , d son , h nakajima",None,1994.0
3469,0,panel on next generation database systems wo n't work without semantics !,j mylopoulos,sigmod conference,1998,a model of authorization for next-generation database systems,"e bertino , w kim , f rabitti , d woelk","acm tods ,",None
3470,0,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000,incremental maintenance od externally materialized views,"m staudy , m jarke","the proceedings of the 22th very large database ( vldb ) & hellip ; ,",None
3471,0,e-services - guest editorial,None,None,2001,editorial,s rudkin,"bt technology journal ,",2005.0
3472,0,issues in developing very large data warehouses,"l do , p drew , w jin , v jumani , d rossum",vldb,1998,a practical issue concerrning very large data bases,g cohen,"proceedings of the vldb conference ( dublin , ireland ) , august ,",None
3473,0,challenges for global information systems,"a levy , a silberschatz , d srivastava , m zemankova",vldb,1994,information assurance technical challenges,"nj multari , bp works","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
3474,0,wavelet-based histograms for selectivity estimation,"y matias , j vitter , m wang",sigmod conference,1998,equi-depth histograms for estimating selectivity factors for multi-dimensional queries,"m muralikrishna , dj dewitt","sigmod conference ,",None
3475,1,similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",vldb,1999,approximate similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",None,None
3476,0,extracting entity profiles from semistructured information spaces,"r nado , s huffman",sigmod record,1997,"notes explorer : entity-based retreival in shared , semi-structured information spaces","s huffman , c baudin","proc . of acm cikm ,",None
3477,0,tail recursion elimination in deductive databases,k ross,acm trans . database syst .,1996,on semantic query optimization in deductive databases,"lvs lakshmanan , r missaoui",None,None
3478,0,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",None
3479,0,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001,xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,None
3480,0,document management as a database problem,r bayer,vldb,1995,multimedia data base management : applications and problems,s christodoulakis,"proceedings , acm-sigmod",None
3481,0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,a relationship mechanism for a strongly typed object-oriented database,"a albano , g ghelli , r orsini","proc . of the 17th int . conf . on vldb , barcelona , s ,",None
3482,0,introduction to the career forum column,a labrinidis,sigmod record,2001,introduction to arakelov theory,s lang,None,1988.0
3483,0,research in database engineering at the university of namur,j hainaut,sigmod record,2003,mechanical engineering education at the university of twente,"pc powell , h grunefeld",None,1999.0
3484,0,the naos system,"c collet , t coupaye",sigmod conference,1995,the social system,t parson,"new york ,",None
3485,0,parallel query scheduling and optimization with time - and space-shared resources,"m garofalakis , y ioannidis",vldb,1997,scheduling problems in parallel query optimization,c chekuri,None,None
3486,0,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"c tќrker , m gertz",vldb j.,2001,xml and relational database management systems : the inside story,"m rys , d chamberlin , d florescu","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0
3487,0,staggered striping in multimedia information systems,"s berson , s ghandeharizadeh , r muntz , x ju",sigmod conference,1994,tension and information systems,r veryard,"information and software technology ,",1987.0
3488,1,performance tradeoffs for client-server query processing,"m franklin , b jѓnsson , d kossmann",sigmod conference,1996,"b. j onsson , and d. kossmann . performance tradeoffs for client-server query processing",m franklin,proc . of the acm sigmod conf . on management of,None
3489,1,sampling large databases for association rules,h toivonen,vldb,1996,sampling large databases for association rules,h toivonen,"vldb ,",1996.0
3490,0,online query processing,None,None,2001,approximate query processing using wavelets,"kc cgrs , mn garofalakis , r rastogi , k shim",proceedings of the international conference on very large,None
3491,0,online association rule mining,c hidber,sigmod conference,1999,association rule mining over interval data,"r miller , y yang",None,None
3492,0,dwms : data warehouse management system,n mohan,vldb,1996,the architecture of an active data base management system,dr mccarthy,None,None
3493,1,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,"a foundation for multi-dimensional databases . in : dayal u , gray pmd , nishio s eds","m gyssens , lvs lakshmanan",None,1997.0
3494,1,efficient query processing for multi-dimensionally clustered tables in db2,"b bhattacharjee , s padmanabhan , t malkemus , t lai , l cranston , m huras",vldb,2003,efficient query processing for multi-dimensionally clustered tables in db2,"b bhattacharjee , s padmanabhan , t malkemus , t lai ,","proceedings of the international conference on very large & hellip ; ,",2003.0
3495,0,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995,classification of recursive formulas in deductive databases,"c youn , lj henschen , j han",None,None
3496,0,closest pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",sigmod conference,2000,research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",None
3497,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,r goldstein,"the american statistician ,",1996.0
3498,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,sampling largc database for association rules,h tovienven,usa : proc of vldb . 1996.134 ~,None
3499,0,reminiscences on influential papers,None,None,2001,reminiscences of an indian official,o cavenagh,None,1884.0
3500,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,rh silkman,"new directions for program evaluation ,",None
3501,0,icicles : self-tuning samples for approximate query answering,"v ganti , m lee , r ramakrishnan",vldb,2000,approximate query answering using histograms,"v poosala , v ganti , ye ioannidis",None,None
3502,0,algebraic query optimisation for database programming languages,"a poulovassilis , c small",vldb j.,1996,implementation of logic query languages for databases,j ullman,acm trans . on database systems,None
3503,0,"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong",sigmod record,1996,"institutions : integrating objects , xml and databases",s alagic,"information & software technology ,",2002.0
3504,0,editor 's notes,m franklin,sigmod record,1997,editor 's notes,rh silkman,"new directions for program evaluation ,",None
3505,0,the mariposa distributed database management system,j sidell,sigmod record,1996,view management in distributed data base systems,"e bertino , lm haas , bg lindsay","vldb ,",1983.0
3506,0,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001,implementing a generalized access path structure for a relational database system,t haerder,"acm transactions on database systems ,",1978.0
3507,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,rh silkman,"new directions for program evaluation ,",None
3508,0,dwms : data warehouse management system,n mohan,vldb,1996,aurora : a data stream management system,"dj abadi , d carney , u cetintemel , m cherniack , c",None,None
3509,0,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,database management systems,"r ramakrishnan , j gehrke",None,2002.0
3510,1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",lecture notes in computer,None
3511,0,document management as a database problem,r bayer,vldb,1995,administering a distributed database management system,h walker,acm-sigmod,None
3512,0,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,an efficient algorithm for mining association rules in large databases,s ashok,"proceedings of the 21th international conference on very & hellip ; ,",None
3513,0,vertical data migration in large near-line document archives based on markov-chain predictions,"a kraiss , g weikum",vldb,1997,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,"a kraiss , g weikum","springer-verlag ,",None
3514,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,extending the object-oriented database management system vodak with active capabilities,"d darmstadt , w klas , w obermair",None,None
3515,0,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,system-level concurrency control for distributed database systems acm trans,"d rosenkrantz , r stearns , p lewis","database syst ,",None
3516,0,caching technologies for web applications,c mohan,vldb,2001,tapping mode imaging applications and technology,"cb prater , pg maivald",None,None
3517,0,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003,a theory of aspects,"d walker , s zdancewic , j ligatti",None,None
3518,0,how to roll a join : asynchronous incremental view maintenance,"k salem , k beyer , r cochrane , b lindsay",sigmod conference,2000,efficient incremental view maintenance in data warehouses,"ky lee , jh son , mh kim",None,None
3519,1,efendi : federated database system of cadlab,"e radeke , r bіttger , b burkert , y engel , g kachel , s kolmschlag , d nolte",sigmod conference,1995,federated database system of cadlab . inproc,"e radeke , r boettger , b burkert , y engel , g kachel",intâ ?? l conf . management of data,None
3520,0,query rewriting for semistructured data,"y papakonstantinou , v vassalos",sigmod conference,1999,semistructued data,p buneman,"proc . of acm podsâ ?? 97 ,",None
3521,0,minimization of tree pattern queries,"s amer-yahia , s cho , l lakshmanan , d srivastava",sigmod conference,2001,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan","vldb ,",1999.0
3522,1,bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration,"z nie , s kambhampati , t hernandez",vldb,2003,statminer : effectively mining and using coverage and overlap statistics in data integration,"z nie , ks bibfinder",proc . of,None
3523,0,online query processing,None,None,2001,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",None
3524,0,database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999,database research at bellcore,ap sheth,"acm sigmod record ,",1990.0
3525,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,efficient view maintenance at data warehouses,t yurek,None,1997.0
3526,0,an introduction to spatial database systems,r gќting,vldb j.,1994,an introduction to deductive database languages and systems,"k ramamohanarao , j harland","the vldb journal the international journal on very large & hellip ; ,",1994.0
3527,0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani",sigmod conference,2001,dimensionality reduction for similarity searching in dynamic databases,"rk kv , d agrawal , a el abbadi , a singh","university of california at santa barbara , santa barbara , ca ,",None
3528,0,metu object-oriented dbms,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,1994,an object-oriented data model,"c lecluse , p richard , f velez","proceedings of the acmsigmod international conference on & hellip ; ,",1988.0
3529,1,the spiffi scalable video-on-demand system,"c freedman , d dewitt",sigmod conference,1995,the spiffi scalable video-ondemand system,"s freedman craig , dj dewitt","proceedings of the 1995 acm sigmod international conference & hellip ; ,",None
3530,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing existential datalog queries,r ramakrishnan,"proceedings of the seventh acm sigact-sigmod-sigart & hellip ; ,",1988.0
3531,0,the wasa2 object-oriented workflow management system,"g vossen , m weske",sigmod conference,1999,the wasa approach to workflow management for scientific applications,"g vossen , m weske",None,None
3532,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,current status of r & d in trusted database management systems,b thuraisingham,"acm sigmod record ,",1992.0
3533,0,integrating modelling systems for environmental management information systems,"d abel , k taylor , d kuo",sigmod record,1997,"environmental project management in project design , building research information","c pilvang , i sutherland","& hellip ; journal of research , development , demonstration and & hellip ; ,",None
3534,0,data stream query processing : a tutorial,None,None,2003,querying and mining data streams : you only get one look a tutorial,"mn garofalakis , j gehrke , r rastogi","sigmod conference ,",2002.0
3535,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,random sampling from relational databases,"f olken , d rotem","proc . vldb &#39; 86 twelfth international conference on very large & hellip ; ,",None
3536,0,a layered architecture for querying dynamic web content,"h davulcu , j freire , m kifer , i ramakrishnan",sigmod conference,1999,a dynamically configurable control architecture for al ] vs,"j borges de sousa , f lobo pereira , e percira da","ias-4 conf . procs. , karlshrue , germany ,",None
3537,1,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002,phoenix project : fault tolerant applications,"d lomet , r barga","sigmod record ,",None
3538,0,parallel database systems 101,j gray,sigmod conference,1995,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",None
