_id,ltable_id,rtable_id,label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year
3418,2285,3113,1,a case for fractured mirrors,"r ramamurthy , d dewitt , q su",vldb j.,2003,de-witt . a case for fractured mirrors,"qsr ramamurthy , j david","proc . vldb , hong kong ,",None
3419,1936,3078,1,generalizing gloss to vector-space databases and broker hierarchies,"l gravano , h garcia-molina",vldb,1995,h. 1995 . generalizing gloss to vector-space databases and broker hierarchies,"l gravano , g ä ± a-molina",proceedings of the 21st international conference on very,None
3420,2354,25767,0,an efficient method for checking object-oriented database schema correctness,"a formica , h grіger , m missikoff",acm trans . database syst .,1998,birch : an efficient data clustering method for large databases,"t zhang , r ramakrishnan , m linvy",proc . of 1996 acm-sigmod int . conf . on management of,None
3421,1202,44817,1,reusing invariants : a new strategy for correlated queries,"j rao , k ross",sigmod conference,1998,reusing invariants : a new strategy for correlated queries,"j rao , ka ross","sigmod conference ,",1998.0
3422,1444,31256,0,data mining techniques,j han,sigmod conference,1996,software testing techniques,b beizer,None,None
3423,2085,26389,0,path queries on compressed xml,"p buneman , m grohe , c koch",vldb,2003,optimizing queries on compressed bitmaps,"s amer-yahia , t johnson","proceedings of the 26th international conference on very & hellip ; ,",2000.0
3424,1944,37494,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,database management systems in 1990,jl berg,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0
3425,711,24483,0,environment information systems - guest editor 's foreword,None,None,1997,information visualization guest editors ' foreword,"e ioannidis , r beigel , b shneiderman , jb kennedy ,","sigmod record ,",1996.0
3426,1439,18988,0,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,an effective algorithm for mining of association rules,js parkâ ? ¦,"proceedings of acm sigmod conference on management of data , & hellip ; ,",None
3427,1792,23531,0,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,mining multi-dimensional association rules using data cubes,"j han , m kamber , j chiang",None,None
3428,1944,5087,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,database management systems,"r ramakrishnan , j gehrke",None,2002.0
3429,2438,62767,0,maintenance of implication integrity constraints under updates to constraints,"n ishakbeyoglu , z жzsoyoglu",vldb j.,1998,selection of views to materialize under a maintenance cost constraint,"h gupta , is mumick","lecture notes in computer science ,",1999.0
3430,107,47172,0,near neighbor search in large metric spaces,s brin,vldb,1995,an efficient access method for similarity search in metric spaces,"p ciaccia , m patella , p zezula",proceedings of the 23rd international conference on very,None
3431,1840,44025,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,performance evaluation of a temporal database management system,r snodgrass,"proc . acm sigmod , conf management of data , may ,",None
3432,758,50108,0,the mariposa distributed database management system,j sidell,sigmod record,1996,multimedia database management systems ( panel ),s christodoulakis,"sigmod conference ,",None
3433,18,18704,0,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002,real-time database and information systems : research advances,"a bestavros , v fay-wolfe",None,1997.0
3434,1674,6281,1,fast computation of sparse datacubes,"k ross , d srivastava",vldb,1997,fast computation of sparse datacubes,"a kenneth , d srivastava",None,None
3435,2001,4018,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,spatial query processing in an object-oriented system,j orenstein,"proc . acm sigmod/nt/conf . on the management of data , may ,",None
3436,2452,34845,0,query processing techniques for arrays,"a marathe , k salem",vldb j.,2002,6 access methods and query processing techniques,"a di pasquale , l forlizzi , cs jensen , y",None,None
3437,2608,31763,0,report on the first international workshop an efficient web-based information systems,None,None,2003,analysis and design of web-based information systems,"k takahashi , e liang","www6 / computer networks ,",1997.0
3438,773,19423,0,implementation aspects of an object-oriented dbms,"a dogac , m altinel , c ozkan , i durusoy",sigmod record,1995,event specification in an object-oriented database,"nh gehani , hv jagadish , o shmueli",proceedings international conference on management of,None
3439,2462,27843,0,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003,data extraction and transformation for the data warehouse,c squire,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0
3440,486,9139,1,chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gќting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1999,chorochronos : a research network for spatiotemporal database systems .,acms anthology,"sigmod record ,",1999.0
3441,1612,50550,1,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,view maintenance in a warehouse environment,"y zhuge , h garcia-molina , jl wiener","acm sigmod int . conf . on management of data ,",None
3442,1342,21309,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,spatial indexing of high-dimensional data based on relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima","the vldb journal the international journal on very large & hellip ; ,",2002.0
3443,277,45579,0,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,joining interval data in relational databases,"j enderle , m hampel , t seidl","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
3444,903,25436,1,fast algorithms for projected clustering,"c aggarwal , c procopiuc , j wolf , p yu , j park",sigmod conference,1999,fast algorithms for projected clustering,"cc aggarwal , c procopiuc , jl wolf , ps yu , js park","sigmod conference ,",1999.0
3445,95,5130,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,None
3446,1841,3336,0,database management systems and the internet,s malaika,vldb,1996,current status of r & d in trusted database management systems,b thuraisingham,"acm sigmod record ,",1992.0
3447,2338,1869,0,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,logical introduction to databases,j grant,None,1987.0
3448,2420,13782,0,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,index concurrency control in firm real-time database systems,"b goyal , jr haritsa , s seshadri , v srinivasan","proceedings of the 21th international conference on very & hellip ; ,",1995.0
3449,2481,49765,0,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,"d. dewitt â ?? equidepth histograms for estimating selectivity factors for multi-dimensional queries ,",m muralikrishna,"proceedings of the acm sigmod conference , pp ,",None
3450,713,37229,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,an approach to implementing a relational data management system,jb rothnie jr,"proceedings of the 1974 acm sigfidet ( now sigmod ) workshop & hellip ; ,",1974.0
3451,2338,22024,0,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,"object-oriented concepts , databases and applications","w kim , fh lochovsky",None,1989.0
3452,960,18727,0,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori",acm trans . database syst .,2003,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , tw ling","acm transactions on database systems ,",2002.0
3453,2383,62791,0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,the distributed deadlock detection algorithm,dz badal,"acm transactions on computer systems ,",1986.0
3454,1221,63795,0,the multidimensional database system rasdaman,"p baumann , a dehmel , p furtado , r ritsch , n widmann",sigmod conference,1998,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",None
3455,42,53053,0,editor 's notes,l liu,sigmod record,2002,editor 's notes,sb merriam,"new directions for adult and continuing education ,",None
3456,2516,18361,0,access path support for referential integrity in sql2,"t hфrder , j reinert",vldb j.,1996,referential integrity,cj date,"vldb ,",1981.0
3457,2515,11329,0,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,automating physical database design in a parallel database system,"j rao , c zhang , g lohman , n megiddo",None,2002.0
3458,1643,36651,0,algorithms for mining distance-based outliers in large datasets,"e knorr , r ng",vldb,1998,fast algorithms for mining association rules in large databases,"r argrawal , r srikant",None,1994.0
3459,1962,17169,0,peer-to-peer : harnessing the power of disruptive technologies,m nascimento,sigmod record,2003,"listening to napster . peer-to-peer : harnessing the power of disruptive technologies , andy oram ( edt .",c shirky,None,2001.0
3460,306,28440,0,report on second international workshop on advanced issues of e-commerce and web-based information systems,None,None,2000,report on the first international workshop on efficient web-based information systems,"z lacroix , o boucelma","acm sigmod record ,",2003.0
3461,1029,32999,1,e-commerce database issues and experience,a rajaraman,sigmod conference,1999,e-commerce database issues and experience : ( talk-slides available at at the conference ),a rajaraman,"proceedings of the 1999 acm sigmod international conference & hellip ; ,",1999.0
3462,976,47238,1,dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro , s zdonik",sigmod conference,1999,dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro ,","sigmod conference ,",1999.0
3463,2275,38340,0,"lh * - a scalable , distributed data structure","w litwin , m neimat , d schneider",acm trans . database syst .,1996,implementing lh * rs : a scalable distributed highly-available data structure,m ljungstrã ¶ m,"master thesis , feb. 2000 , cs dept. , u. linkoping ,",None
3464,1465,42029,0,the persistent cache : improving oid indexing in temporal object-oriented database systems,k nјrvхg,vldb,1999,object-oriented database systems : in transition,"f bancilhon , w kim","sigmod record ,",1990.0
3465,1200,41405,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,implementation of schema evolution in object-oriented databases,"j banerjee , wk semantics","proceedings of the 1987 acm sigmod intenational conference & hellip ; ,",None
3466,2492,2170,0,guest editorial,None,None,2001,guest editorial,"z bankowski , a scott , f snyder","european law journal ,",1998.0
3467,210,5032,1,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003,e cient similarity search and classi cation via rank aggregation,"r fagin , r kumar , d sivakumar","proceedings of the acm sigmod conference on management of & hellip ; ,",None
3468,2188,63022,0,efficient algorithms for processing xpath queries,"g gottlob , c koch , r pichler",vldb,2002,efficient processing of fuzzy sql queries in fuzzy databases,"q yang , j wu , c yu , c liu , d son , h nakajima",None,1994.0
3469,1261,14009,0,panel on next generation database systems wo n't work without semantics !,j mylopoulos,sigmod conference,1998,a model of authorization for next-generation database systems,"e bertino , w kim , f rabitti , d woelk","acm tods ,",None
3470,272,7089,0,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000,incremental maintenance od externally materialized views,"m staudy , m jarke","the proceedings of the 22th very large database ( vldb ) & hellip ; ,",None
3471,2500,25433,0,e-services - guest editorial,None,None,2001,editorial,s rudkin,"bt technology journal ,",2005.0
3472,1759,22564,0,issues in developing very large data warehouses,"l do , p drew , w jin , v jumani , d rossum",vldb,1998,a practical issue concerrning very large data bases,g cohen,"proceedings of the vldb conference ( dublin , ireland ) , august ,",None
3473,177,62668,0,challenges for global information systems,"a levy , a silberschatz , d srivastava , m zemankova",vldb,1994,information assurance technical challenges,"nj multari , bp works","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
3474,1172,10962,0,wavelet-based histograms for selectivity estimation,"y matias , j vitter , m wang",sigmod conference,1998,equi-depth histograms for estimating selectivity factors for multi-dimensional queries,"m muralikrishna , dj dewitt","sigmod conference ,",None
3475,1417,6792,1,similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",vldb,1999,approximate similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",None,None
3476,522,61512,0,extracting entity profiles from semistructured information spaces,"r nado , s huffman",sigmod record,1997,"notes explorer : entity-based retreival in shared , semi-structured information spaces","s huffman , c baudin","proc . of acm cikm ,",None
3477,2270,3018,0,tail recursion elimination in deductive databases,k ross,acm trans . database syst .,1996,on semantic query optimization in deductive databases,"lvs lakshmanan , r missaoui",None,None
3478,1288,27684,0,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",None
3479,182,19205,0,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001,xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,None
3480,1926,51548,0,document management as a database problem,r bayer,vldb,1995,multimedia data base management : applications and problems,s christodoulakis,"proceedings , acm-sigmod",None
3481,1981,13318,0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,a relationship mechanism for a strongly typed object-oriented database,"a albano , g ghelli , r orsini","proc . of the 17th int . conf . on vldb , barcelona , s ,",None
3482,176,48558,0,introduction to the career forum column,a labrinidis,sigmod record,2001,introduction to arakelov theory,s lang,None,1988.0
3483,1916,11528,0,research in database engineering at the university of namur,j hainaut,sigmod record,2003,mechanical engineering education at the university of twente,"pc powell , h grunefeld",None,1999.0
3484,1680,45422,0,the naos system,"c collet , t coupaye",sigmod conference,1995,the social system,t parson,"new york ,",None
3485,1918,31084,0,parallel query scheduling and optimization with time - and space-shared resources,"m garofalakis , y ioannidis",vldb,1997,scheduling problems in parallel query optimization,c chekuri,None,None
3486,2491,51481,0,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"c tќrker , m gertz",vldb j.,2001,xml and relational database management systems : the inside story,"m rys , d chamberlin , d florescu","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0
3487,1760,20909,0,staggered striping in multimedia information systems,"s berson , s ghandeharizadeh , r muntz , x ju",sigmod conference,1994,tension and information systems,r veryard,"information and software technology ,",1987.0
3488,1410,47266,1,performance tradeoffs for client-server query processing,"m franklin , b jѓnsson , d kossmann",sigmod conference,1996,"b. j onsson , and d. kossmann . performance tradeoffs for client-server query processing",m franklin,proc . of the acm sigmod conf . on management of,None
3489,2568,25353,1,sampling large databases for association rules,h toivonen,vldb,1996,sampling large databases for association rules,h toivonen,"vldb ,",1996.0
3490,658,50474,0,online query processing,None,None,2001,approximate query processing using wavelets,"kc cgrs , mn garofalakis , r rastogi , k shim",proceedings of the international conference on very large,None
3491,1012,42336,0,online association rule mining,c hidber,sigmod conference,1999,association rule mining over interval data,"r miller , y yang",None,None
3492,1842,8742,0,dwms : data warehouse management system,n mohan,vldb,1996,the architecture of an active data base management system,dr mccarthy,None,None
3493,1792,56675,1,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,"a foundation for multi-dimensional databases . in : dayal u , gray pmd , nishio s eds","m gyssens , lvs lakshmanan",None,1997.0
3494,2022,18326,1,efficient query processing for multi-dimensionally clustered tables in db2,"b bhattacharjee , s padmanabhan , t malkemus , t lai , l cranston , m huras",vldb,2003,efficient query processing for multi-dimensionally clustered tables in db2,"b bhattacharjee , s padmanabhan , t malkemus , t lai ,","proceedings of the international conference on very large & hellip ; ,",2003.0
3495,2256,15133,0,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995,classification of recursive formulas in deductive databases,"c youn , lj henschen , j han",None,None
3496,787,16881,0,closest pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",sigmod conference,2000,research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",None
3497,767,2235,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,r goldstein,"the american statistician ,",1996.0
3498,612,33576,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,sampling largc database for association rules,h tovienven,usa : proc of vldb . 1996.134 ~,None
3499,373,11014,0,reminiscences on influential papers,None,None,2001,reminiscences of an indian official,o cavenagh,None,1884.0
3500,767,50887,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,rh silkman,"new directions for program evaluation ,",None
3501,1383,49249,0,icicles : self-tuning samples for approximate query answering,"v ganti , m lee , r ramakrishnan",vldb,2000,approximate query answering using histograms,"v poosala , v ganti , ye ioannidis",None,None
3502,2505,19226,0,algebraic query optimisation for database programming languages,"a poulovassilis , c small",vldb j.,1996,implementation of logic query languages for databases,j ullman,acm trans . on database systems,None
3503,677,17906,0,"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong",sigmod record,1996,"institutions : integrating objects , xml and databases",s alagic,"information & software technology ,",2002.0
3504,628,50887,0,editor 's notes,m franklin,sigmod record,1997,editor 's notes,rh silkman,"new directions for program evaluation ,",None
3505,758,59362,0,the mariposa distributed database management system,j sidell,sigmod record,1996,view management in distributed data base systems,"e bertino , lm haas , bg lindsay","vldb ,",1983.0
3506,182,10096,0,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001,implementing a generalized access path structure for a relational database system,t haerder,"acm transactions on database systems ,",1978.0
3507,661,50887,0,editor 's notes,j widom,sigmod record,1996,editor 's notes,rh silkman,"new directions for program evaluation ,",None
3508,1842,32114,0,dwms : data warehouse management system,n mohan,vldb,1996,aurora : a data stream management system,"dj abadi , d carney , u cetintemel , m cherniack , c",None,None
3509,2515,5087,0,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,database management systems,"r ramakrishnan , j gehrke",None,2002.0
3510,2563,21082,1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",lecture notes in computer,None
3511,1926,32020,0,document management as a database problem,r bayer,vldb,1995,administering a distributed database management system,h walker,acm-sigmod,None
3512,631,61742,0,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,an efficient algorithm for mining association rules in large databases,s ashok,"proceedings of the 21th international conference on very & hellip ; ,",None
3513,1915,59196,0,vertical data migration in large near-line document archives based on markov-chain predictions,"a kraiss , g weikum",vldb,1997,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,"a kraiss , g weikum","springer-verlag ,",None
3514,604,34902,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,extending the object-oriented database management system vodak with active capabilities,"d darmstadt , w klas , w obermair",None,None
3515,2420,42806,0,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,system-level concurrency control for distributed database systems acm trans,"d rosenkrantz , r stearns , p lewis","database syst ,",None
3516,2168,16520,0,caching technologies for web applications,c mohan,vldb,2001,tapping mode imaging applications and technology,"cb prater , pg maivald",None,None
3517,311,6421,0,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003,a theory of aspects,"d walker , s zdancewic , j ligatti",None,None
3518,848,11678,0,how to roll a join : asynchronous incremental view maintenance,"k salem , k beyer , r cochrane , b lindsay",sigmod conference,2000,efficient incremental view maintenance in data warehouses,"ky lee , jh son , mh kim",None,None
3519,1586,33525,1,efendi : federated database system of cadlab,"e radeke , r bіttger , b burkert , y engel , g kachel , s kolmschlag , d nolte",sigmod conference,1995,federated database system of cadlab . inproc,"e radeke , r boettger , b burkert , y engel , g kachel",intâ ?? l conf . management of data,None
3520,1065,3386,0,query rewriting for semistructured data,"y papakonstantinou , v vassalos",sigmod conference,1999,semistructued data,p buneman,"proc . of acm podsâ ?? 97 ,",None
3521,746,60506,0,minimization of tree pattern queries,"s amer-yahia , s cho , l lakshmanan , d srivastava",sigmod conference,2001,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan","vldb ,",1999.0
3522,2060,37987,1,bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration,"z nie , s kambhampati , t hernandez",vldb,2003,statminer : effectively mining and using coverage and overlap statistics in data integration,"z nie , ks bibfinder",proc . of,None
3523,658,42348,0,online query processing,None,None,2001,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",None
3524,464,40455,0,database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999,database research at bellcore,ap sheth,"acm sigmod record ,",1990.0
3525,1612,57454,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,efficient view maintenance at data warehouses,t yurek,None,1997.0
3526,2538,7729,0,an introduction to spatial database systems,r gќting,vldb j.,1994,an introduction to deductive database languages and systems,"k ramamohanarao , j harland","the vldb journal the international journal on very large & hellip ; ,",1994.0
3527,732,3387,0,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani",sigmod conference,2001,dimensionality reduction for similarity searching in dynamic databases,"rk kv , d agrawal , a el abbadi , a singh","university of california at santa barbara , santa barbara , ca ,",None
3528,1852,8802,0,metu object-oriented dbms,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,1994,an object-oriented data model,"c lecluse , p richard , f velez","proceedings of the acmsigmod international conference on & hellip ; ,",1988.0
3529,1615,56956,1,the spiffi scalable video-on-demand system,"c freedman , d dewitt",sigmod conference,1995,the spiffi scalable video-ondemand system,"s freedman craig , dj dewitt","proceedings of the 1995 acm sigmod international conference & hellip ; ,",None
3530,1913,23677,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing existential datalog queries,r ramakrishnan,"proceedings of the seventh acm sigact-sigmod-sigart & hellip ; ,",1988.0
3531,1127,38576,0,the wasa2 object-oriented workflow management system,"g vossen , m weske",sigmod conference,1999,the wasa approach to workflow management for scientific applications,"g vossen , m weske",None,None
3532,570,3336,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,current status of r & d in trusted database management systems,b thuraisingham,"acm sigmod record ,",1992.0
3533,708,47014,0,integrating modelling systems for environmental management information systems,"d abel , k taylor , d kuo",sigmod record,1997,"environmental project management in project design , building research information","c pilvang , i sutherland","& hellip ; journal of research , development , demonstration and & hellip ; ,",None
3534,2184,18279,0,data stream query processing : a tutorial,None,None,2003,querying and mining data streams : you only get one look a tutorial,"mn garofalakis , j gehrke , r rastogi","sigmod conference ,",2002.0
3535,563,10812,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,random sampling from relational databases,"f olken , d rotem","proc . vldb &#39; 86 twelfth international conference on very large & hellip ; ,",None
3536,932,42016,0,a layered architecture for querying dynamic web content,"h davulcu , j freire , m kifer , i ramakrishnan",sigmod conference,1999,a dynamically configurable control architecture for al ] vs,"j borges de sousa , f lobo pereira , e percira da","ias-4 conf . procs. , karlshrue , germany ,",None
3537,7,58885,1,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002,phoenix project : fault tolerant applications,"d lomet , r barga","sigmod record ,",None
3538,1635,63795,0,parallel database systems 101,j gray,sigmod conference,1995,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",None
3539,1841,40231,0,database management systems and the internet,s malaika,vldb,1996,panel : user interfaces and database management systems,"tl anderson , g ariav","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0
3540,1445,12505,1,dbsim : a simulation tool for predicting database performance,"m lefler , m stokrp , c wong",sigmod conference,1996,dbsim : a simulation tool for predicting database performance,"m lefler , m stokrp , c wong","proceedings of the 1996 acm sigmod international conference & hellip ; ,",1996.0
3541,657,54243,0,unisql 's next-generation object-relational database management system,"a d'andrea , p janus",sigmod record,1996,grid data servicesâ ?? relational database management systems,"b collins , a borley , n hardman , a knox , s laws , j",None,2002.0
3542,1023,48490,0,selectivity estimation in spatial databases,"s acharya , v poosala , s ramaswamy",sigmod conference,1999,substring selectivity estimation,"hv jagadish , d srivastava","proc acm sigact sigmod sigart symp princ database syst ,",1999.0
3543,921,16613,1,tsql2 language specification,"r snodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",sigmod record,1994,tsql2 language specification,"a segev , md soo , sm sripada",acm sigmod,None
3544,1454,31272,0,a query language and optimization techniques for unstructured data,"p buneman , s davidson , g hillebrand , d suciu",sigmod conference,1996,tql : a query language for semistructured data based on the ambient logic,"l cardelli , g ghelli","mathematical structures in computer science ,",2004.0
3545,2272,33831,0,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,design and implementation of the relationlog deductive database system,"m liu , r shan",None,None
3546,1815,54076,1,a new sql-like operator for mining association rules,"r meo , g psaila , s ceri",vldb,1996,a new sql-like operator for mining association rules,r meo,"vldb ,",1996.0
3547,2614,12452,0,sprint : a scalable parallel classifier for data mining,"j shafer , r agrawal , m mehta",vldb,1996,free parallel data mining,b li,None,1998.0
3548,659,44758,0,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,retrieval and delivery of information in multimedia database systems,"f golshani , n dimitrova",None,1994.0
3549,1200,34408,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,object placement in parallel object-oriented database systems,"s ghandeharizadeh , d wilhite , k lin , x zhao",None,None
3550,428,41168,0,nsf workshop on industrial/academic cooperation in database systems,None,None,1999,report of the workshop on semantic heterogeneity and interoperation in multidatabase systems,"p drew , r king , d mcleod , m rusinkiewicz , a","sigmod record ,",1993.0
3551,2323,40852,0,optimizing object queries using an effective calculus,"l fegaras , d maier",acm trans . database syst .,2000,toward an effective calculus for object query processing,"l fegaras , d maier","proc . acm sigmod conf . on management of data ,",None
3552,2388,22167,0,opt + + : an object-oriented implementation for extensible database query optimization,"n kabra , d dewitt",vldb j.,1999,an extensible program representation for object-oriented software,"ba malloy , jd mcgregor , a krishnaswamy , m","acm sigplan notices ,",1994.0
3553,632,59089,0,repositories and object oriented databases,p bernstein,sigmod record,1998,ã ? logical semantics for object oriented databasesâ ??,"j meseguer , x quian","proceedings sigmod conference on management of data , may ,",None
3554,1770,56979,0,optimizing queries on files,"m consens , t milo",sigmod conference,1994,optimizing queries over multimedia repositories,i kaist,None,None
3555,740,45816,1,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,"a whitney , d shasha",sigmod conference,2001,lots o'ticks : real time high performance time series queries on billions of trades and quotes,"a whitney , d shasha","sigmod conference ,",2001.0
3556,2543,32315,0,management of multidimensional discrete data,p baumann,vldb j.,1994,tertiary storage support for multidimensional data,b reiner,"vldb supercomputing databases workshop , rome , september ,",None
3557,2443,48536,0,editorial,None,None,2002,editorial,ca insko,"journal of personality and social psychology ,",None
3558,404,17810,0,archiving scientific data,"p buneman , s khanna , k tajima , w tan",sigmod conference,2002,knowledge discovery in scientific data,s rudolph,"data mining and knowledge discovery : theory , tools , and & hellip ; ,",2000.0
3559,11,60731,1,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995,avoiding retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , s shahabi","proc . of vldb ,",None
3560,1193,44085,0,free parallel data mining,"b li , d shasha",sigmod conference,1998,definitive parallel programming,m slade,None,None
3561,1288,54367,0,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,mining fuzzy association rules in databases .,acms anthology,"sigmod record ,",1998.0
3562,259,40188,0,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003,re-tree : an efficient index structure for regular expressions,"c chee-yao , m garofalakis , r rastogi","proceedings of the vldb conference , hong kong ,",None
3563,1610,23788,0,temporal conditions and integrity constraints in active database systems,"a sistla , o wolfson",sigmod conference,1995,temporal inegrity constraints in relational databases,j chomicki,None,None
